 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
92.2	6.1509386e-10	-8.470590833333334e-06	1.6168608333333333e-06	8.625735e-06	169.14549999999997
92.21	6.15160573e-10	-8.602451666666667e-06	1.9031675e-06	8.79966e-06	167.5805
92.22	6.15227286e-10	-8.433959166666669e-06	1.858231666666667e-06	8.643041666666667e-06	167.4325
92.23	6.15293999e-10	-8.553093333333333e-06	1.54771e-06	8.696748333333334e-06	169.72549999999998
92.24	6.15360712e-10	-8.911030833333333e-06	1.6562891666666668e-06	9.108159166666666e-06	169.563
92.25	6.154274249999999e-10	-8.509158333333333e-06	1.8819016666666664e-06	8.7205675e-06	167.279
92.26	6.15494138e-10	-8.924304166666666e-06	1.7724708333333335e-06	9.108083333333333e-06	168.8335
92.27	6.155608509999999e-10	-9.427525833333332e-06	2.0958e-06	9.648323333333333e-06	167.41400000000002
92.28	6.156275639999999e-10	-9.575840833333333e-06	1.6974225000000001e-06	9.714921666666668e-06	169.981
92.29	6.15694277e-10	-8.7945375e-06	1.8101916666666667e-06	8.9963225e-06	168.43449999999999
92.3	6.157609899999999e-10	-8.771331666666668e-06	1.7069683333333332e-06	8.957984166666667e-06	168.96450000000002
92.31	6.15827703e-10	-9.021391666666668e-06	1.7023125e-06	9.209364166666665e-06	169.3405
92.32	6.158944159999999e-10	-8.637998333333334e-06	1.7603633333333335e-06	8.816500833333334e-06	168.41349999999997
92.33	6.159611289999999e-10	-8.419603333333333e-06	1.85303e-06	8.600744999999999e-06	167.55499999999998
92.34	6.16027842e-10	-8.985925e-06	1.9547016666666666e-06	9.161246666666667e-06	167.577
92.35	6.160945549999999e-10	-9.129425833333332e-06	1.6578416666666666e-06	9.27215e-06	169.7485
92.36	6.16161268e-10	-8.914213333333334e-06	1.8251708333333332e-06	9.106219166666666e-06	168.419
92.37	6.16227981e-10	-9.091708333333333e-06	1.8910625000000001e-06	9.295120833333333e-06	168.29999999999998
92.38	6.162946939999999e-10	-8.534771666666667e-06	1.7993233333333334e-06	8.731828333333335e-06	168.10199999999998
92.39	6.16361407e-10	-8.6390075e-06	1.4274132499999999e-06	8.758138333333334e-06	170.63850000000002
92.4	6.1642812e-10	-8.826745833333334e-06	1.6891950000000001e-06	8.968463333333334e-06	169.13750000000002
92.41	6.16494833e-10	-9.02473e-06	1.7515916666666667e-06	9.164429166666667e-06	168.938
92.42	6.16561546e-10	-8.538110833333332e-06	1.8461249999999998e-06	8.7503775e-06	167.703
92.43	6.16628259e-10	-8.696670833333333e-06	1.9103858333333334e-06	8.916695e-06	167.6265
92.44	6.16694972e-10	-8.803461666666668e-06	1.8825224999999999e-06	9.012156666666666e-06	168.0035
92.45	6.16761685e-10	-8.602375e-06	1.8303708333333334e-06	8.816655833333333e-06	168.0935
92.46	6.168283979999999e-10	-8.351301666666666e-06	1.8258666666666666e-06	8.59345e-06	167.687
92.47	6.16895111e-10	-8.863066666666666e-06	1.6838391666666667e-06	9.015726666666666e-06	169.1935
92.48	6.16961824e-10	-8.728180000000001e-06	1.8648300000000001e-06	8.896513333333332e-06	167.8885
